TIME,DJIA
"January-29,1902",47.4409
"January-30,1902",47.5215
"January-31,1902",47.5801
"February-01,1902",47.646
"February-03,1902",47.4482
"February-04,1902",47.3383
"February-05,1902",47.5874
"February-06,1902",47.5581
"February-07,1902",47.8438
"February-08,1902",47.5727
"February-10,1902",47.4848
"February-11,1902",47.7339
"February-13,1902",47.309
"February-14,1902",47.331
"February-15,1902",47.3749
"February-17,1902",47.8365
"February-18,1902",47.4775
"February-19,1902",48.0049
"February-20,1902",47.3823
"February-21,1902",47.602
"February-24,1902",47.8365
"February-25,1902",48.0416
"February-26,1902",47.7632
"February-27,1902",47.8145
"February-28,1902",47.4775
"March-01,1902",47.7119
"March-03,1902",47.8365
"March-04,1902",47.4482
"March-05,1902",47.5947
"March-06,1902",48.4665
"March-07,1902",48.0269
"March-08,1902",48.0562
"March-10,1902",47.6973
"March-11,1902",47.8511
"March-12,1902",47.5288
"March-13,1902",47.8072
"March-14,1902",47.8951
"March-15,1902",48.0489
"March-17,1902",48.0489
"March-18,1902",48.3346
"March-19,1902",48.7155
"March-20,1902",49.265
"March-21,1902",49.4627
"March-22,1902",49.3089
"March-24,1902",49.3016
"March-25,1902",49.0891
"March-26,1902",49.265
"March-27,1902",49.2357
"March-31,1902",49.221
"April-01,1902",49.2283
"April-02,1902",49.2063
"April-03,1902",49.0891
"April-04,1902",48.95
"April-05,1902",48.9646
"April-07,1902",48.7888
"April-08,1902",48.7888
"April-09,1902",48.906
"April-10,1902",48.3126
"April-11,1902",48.4811
"April-12,1902",48.591
"April-14,1902",48.3712
"April-15,1902",48.6862
"April-16,1902",48.9793
"April-17,1902",49.4041
"April-18,1902",49.6312
"April-19,1902",49.5287
"April-21,1902",49.1551
"April-22,1902",48.4958
"April-23,1902",48.9646
"April-24,1902",50.1367
"April-25,1902",49.536
"April-26,1902",49.5433
"April-28,1902",49.3089
"April-29,1902",49.3529
"April-30,1902",49.0891
"May-01,1902",49.1624
"May-02,1902",48.2687
"May-03,1902",48.5324
"May-05,1902",48.3932
"May-06,1902",49.0891
"May-07,1902",48.613
"May-08,1902",48.8327
"May-09,1902",48.6423
"May-10,1902",48.3126
"May-12,1902",47.9903
"May-13,1902",48.276
"May-14,1902",48.3126
"May-15,1902",48.3932
"May-16,1902",47.8731
"May-17,1902",47.5068
"May-19,1902",47.4189
"May-20,1902",47.8584
"May-21,1902",48.2467
"May-22,1902",48.2613
"May-23,1902",48.6716
"May-24,1902",48.95
"May-26,1902",48.6862
"May-27,1902",48.5324
"May-28,1902",48.5031
"May-29,1902",48.6569
"June-02,1902",48.5397
"June-03,1902",48.4738
"June-04,1902",48.3199
"June-05,1902",47.8511
"June-06,1902",47.9537
"June-07,1902",47.9756
"June-09,1902",48.1148
"June-10,1902",48.4298
"June-11,1902",48.4958
"June-12,1902",48.3053
"June-13,1902",48.3053
"June-14,1902",48.3859
"June-16,1902",48.276
"June-17,1902",48.2687
"June-18,1902",47.9317
"June-19,1902",47.5508
"June-20,1902",47.4409
"June-21,1902",47.4555
"June-23,1902",47.0306
"June-24,1902",46.6424
"June-25,1902",46.7523
"June-26,1902",46.9134
"June-27,1902",46.6863
"June-28,1902",46.7889
"June-30,1902",47.1112
"July-01,1902",47.0673
"July-02,1902",47.4409
"July-03,1902",47.5361
"July-07,1902",47.6826
"July-08,1902",47.2577
"July-09,1902",47.0819
"July-10,1902",47.3603
"July-11,1902",47.2504
"July-12,1902",47.2138
"July-14,1902",47.353
"July-15,1902",47.4628
"July-16,1902",48.0196
"July-17,1902",48.276
"July-18,1902",48.3712
"July-19,1902",48.3786
"July-21,1902",48.3566
"July-22,1902",48.6716
"July-23,1902",48.7155
"July-24,1902",48.6203
"July-25,1902",48.7815
"July-26,1902",48.7815
"July-28,1902",49.2869
"July-29,1902",48.7229
"July-30,1902",48.7595
"July-31,1902",48.2174
"August-01,1902",48.2833
"August-02,1902",48.2247
"August-04,1902",48.3199
"August-05,1902",48.4372
"August-06,1902",48.6936
"August-07,1902",48.7302
"August-08,1902",48.7375
"August-11,1902",48.4884
"August-12,1902",48.4005
"August-13,1902",48.7009
"August-14,1902",48.9206
"August-15,1902",48.7815
"August-16,1902",48.7155
"August-18,1902",48.6276
"August-19,1902",48.6862
"August-20,1902",48.5544
"August-21,1902",47.8584
"August-22,1902",48.2027
"August-23,1902",48.2027
"August-25,1902",48.254
"August-26,1902",48.1954
"August-27,1902",48.4884
"August-28,1902",48.5544
"August-29,1902",48.5544
"September-02,1902",48.7522
"September-03,1902",48.8181
"September-04,1902",48.7888
"September-05,1902",48.9353
"September-06,1902",48.7595
"September-08,1902",49.1697
"September-09,1902",49.1038
"September-10,1902",49.0012
"September-11,1902",48.8401
"September-12,1902",48.3859
"September-13,1902",48.569
"September-15,1902",48.4298
"September-16,1902",48.6423
"September-17,1902",49.0012
"September-18,1902",49.265
"September-19,1902",49.6459
"September-20,1902",49.3748
"September-22,1902",49.0159
"September-23,1902",47.9463
"September-24,1902",47.9244
"September-25,1902",48.2101
"September-26,1902",48.5983
"September-27,1902",48.5544
"September-29,1902",46.9354
"September-30,1902",48.4591
"October-01,1902",48.6789
"October-02,1902",48.6716
"October-03,1902",48.7741
"October-04,1902",48.1368
"October-06,1902",47.038
"October-07,1902",46.7669
"October-08,1902",47.0892
"October-09,1902",47.6606
"October-10,1902",47.4409
"October-11,1902",46.7669
"October-13,1902",47.0087
"October-14,1902",47.6313
"October-15,1902",47.8877
"October-16,1902",48.4225
"October-17,1902",48.7668
"October-18,1902",48.7155
"October-20,1902",48.7741
"October-21,1902",48.2101
"October-22,1902",48.2687
"October-23,1902",48.1881
"October-24,1902",47.8877
"October-25,1902",48.6716
"October-27,1902",48.3932
"October-28,1902",48.2906
"October-29,1902",47.7119
"October-30,1902",47.9317
"October-31,1902",48.3932
"November-01,1902",48.2027
"November-03,1902",48.0196
"November-05,1902",47.287
"November-06,1902",47.1552
"November-07,1902",47.0233
"November-08,1902",46.0783
"November-10,1902",45.6754
"November-11,1902",44.6571
"November-12,1902",45.1333
"November-13,1902",45.2798
"November-14,1902",44.4081
"November-15,1902",45.126
"November-17,1902",45.5582
"November-18,1902",45.1333
"November-19,1902",45.1919
"November-20,1902",45.4483
"November-21,1902",46.1076
"November-22,1902",46.0563
"November-24,1902",45.9977
"November-25,1902",45.5289
"November-26,1902",44.9868
"November-28,1902",45.5216
"November-29,1902",45.4556
"December-01,1902",45.8073
"December-02,1902",45.5802
"December-03,1902",45.419
"December-04,1902",45.3457
"December-05,1902",45.2432
"December-06,1902",45.2212
"December-08,1902",45.5216
"December-09,1902",45.5582
"December-10,1902",44.474
"December-11,1902",43.9319
"December-12,1902",44.093
"December-13,1902",43.844
"December-15,1902",43.6389
"December-16,1902",43.7414
"December-17,1902",44.0271
"December-18,1902",44.8183
"December-19,1902",44.9502
"December-20,1902",45.3238
"December-22,1902",45.9098
"December-23,1902",45.419
"December-24,1902",45.8659
"December-26,1902",46.3054
"December-27,1902",46.657
"December-29,1902",46.3713
"December-30,1902",46.8548
"December-31,1902",47.0966
"January-02,1903",47.3237
"January-03,1903",47.3603
"January-05,1903",47.8951
"January-06,1903",48.2613
"January-07,1903",48.1515
"January-08,1903",48.591
"January-09,1903",48.5031
"January-10,1903",48.2394
"January-12,1903",48.0929
"January-13,1903",47.602
"January-14,1903",47.5361
"January-15,1903",47.2504
"January-16,1903",47.4702
"January-17,1903",47.668
"January-19,1903",47.2651
"January-20,1903",47.0233
"January-21,1903",47.6167
"January-22,1903",47.4921
"January-23,1903",47.1039
"January-24,1903",47.1112
"January-26,1903",47.5434
"January-27,1903",47.8804
"January-28,1903",47.8877
"January-29,1903",48.0196
"January-30,1903",47.5874
"January-31,1903",47.7485
"February-02,1903",48.0049
"February-03,1903",48.3932
"February-04,1903",48.6423
"February-05,1903",48.7522
"February-06,1903",48.6276
"February-07,1903",48.6936
"February-09,1903",49.1551
"February-10,1903",49.243
"February-11,1903",49.221
"February-13,1903",49.0305
"February-14,1903",49.1184
"February-16,1903",49.5946
"February-17,1903",49.5873
"February-18,1903",49.3162
"February-19,1903",48.8547
"February-20,1903",49.2723
"February-24,1903",49.3968
"February-25,1903",49.1477
"February-26,1903",48.7302
"February-27,1903",48.4665
"February-28,1903",48.4884
"March-02,1903",48.3566
"March-03,1903",48.1148
"March-04,1903",48.2101
"March-05,1903",47.3969
"March-06,1903",47.4848
"March-07,1903",46.9794
"March-09,1903",47.1918
"March-10,1903",46.8109
"March-11,1903",47.0892
"March-12,1903",46.8255
"March-13,1903",46.9647
"March-14,1903",47.1112
"March-16,1903",47.0233
"March-17,1903",47.2577
"March-18,1903",47.5141
"March-19,1903",47.9097
"March-20,1903",48.1661
"March-21,1903",48.1222
"March-23,1903",47.9024
"March-24,1903",47.1991
"March-25,1903",46.8548
"March-26,1903",46.994
"March-27,1903",46.4812
"March-28,1903",46.4739
"March-30,1903",46.049
"March-31,1903",46.6204
"April-01,1903",46.4959
"April-02,1903",45.8805
"April-03,1903",45.8219
"April-04,1903",45.6241
"April-06,1903",45.712
"April-07,1903",45.4849
"April-08,1903",45.6241
"April-09,1903",45.6534
"April-13,1903",44.5326
"April-14,1903",45.5069
"April-15,1903",45.5216
"April-16,1903",46.0563
"April-17,1903",46.7669
"April-18,1903",46.9867
"April-20,1903",47.1991
"April-21,1903",47.2944
"April-23,1903",47.038
"April-24,1903",46.9354
"April-25,1903",46.7303
"April-27,1903",46.5032
"April-28,1903",46.7156
"April-29,1903",46.9501
"April-30,1903",46.723
"May-01,1903",46.7669
"May-02,1903",46.7816
"May-04,1903",46.9281
"May-05,1903",46.8914
"May-06,1903",46.8035
"May-07,1903",46.5545
"May-08,1903",46.6644
"May-09,1903",46.5545
"May-11,1903",46.7083
"May-12,1903",46.5178
"May-13,1903",46.6131
"May-14,1903",46.2614
"May-15,1903",46.1589
"May-16,1903",45.9245
"May-18,1903",45.5069
"May-19,1903",45.6241
"May-20,1903",44.8696
"May-21,1903",45.3824
"May-22,1903",45.8292
"May-23,1903",44.9795
"May-25,1903",44.4447
"May-26,1903",45.0747
"May-27,1903",44.8036
"May-28,1903",44.3348
"May-29,1903",44.1517
"June-01,1903",43.6535
"June-02,1903",43.8586
"June-03,1903",43.8806
"June-04,1903",43.1187
"June-05,1903",42.877
"June-06,1903",42.855
"June-08,1903",42.4668
"June-09,1903",42.0272
"June-10,1903",41.595
"June-11,1903",42.6939
"June-12,1903",43.4997
"June-13,1903",43.1773
"June-15,1903",42.3056
"June-16,1903",42.3715
"June-17,1903",42.1591
"June-18,1903",41.6756
"June-19,1903",42.1078
"June-20,1903",41.8441
"June-22,1903",41.4998
"June-23,1903",42.203
"June-24,1903",42.1957
"June-25,1903",41.9833
"June-26,1903",41.954
"June-27,1903",42.225
"June-29,1903",43.0528
"June-30,1903",43.2799
"July-01,1903",43.0821
"July-02,1903",42.5473
"July-03,1903",42.6426
"July-06,1903",42.5473
"July-07,1903",42.3715
"July-08,1903",42.4521
"July-09,1903",41.7342
"July-10,1903",41.4705
"July-11,1903",40.943
"July-13,1903",41.1115
"July-14,1903",40.2324
"July-15,1903",39.8295
"July-16,1903",39.6317
"July-17,1903",40.0932
"July-18,1903",39.6317
"July-20,1903",38.6501
"July-21,1903",37.6904
"July-22,1903",38.1007
"July-23,1903",37.2362
"July-24,1903",36.511
"July-25,1903",35.9543
"July-27,1903",36.7088
"July-28,1903",37.7417
"July-29,1903",37.3754
"July-30,1903",37.1557
"July-31,1903",37.185
"August-01,1903",37.1776
"August-03,1903",37.0458
"August-04,1903",36.0568
"August-05,1903",35.1484
"August-06,1903",36.1594
"August-07,1903",35.6319
"August-08,1903",34.7089
"August-10,1903",35.207
"August-11,1903",35.6539
"August-12,1903",36.8553
"August-13,1903",37.6245
"August-14,1903",38.6794
"August-15,1903",38.8039
"August-17,1903",39.4706
"August-18,1903",39.2728
"August-19,1903",37.6758
"August-20,1903",37.9175
